calles,engine,tipo_calle,caracteristica_calle,tipo_siniestro,entidad_instructora,tipo_participante,marca_participante,modelo_participante,sexo,rol,causa,lugar_via,tiempo
"LOPEZ ANAUT, PEDRO, DR.",,,,,,,guerrero,1540,,,,,
AMBERES,,,,,,,guzzi,155,,,,,
"AMBROSETTI, JUAN B.",,,,,,,halley,156,,,,,
"AMEGHINO, FLORENTINO, DR.",,,,,,,harley davidson,159,,,,,
AMENABAR,,,,,,,hero,16,,,,,
"PAINE, AIME",,,,,,,hishi,160,,,,,
AMPERE,,,,,,,honda,1600,,,,,
AMSTERDAM,,,,,,,honda wave,160e23t,,,,,
ANCASTE,,,,,,,husqvarna,1620,,,,,
ANCON,,,,,,,hyosung,1622,,,,,
"ANCHORENA, TOMAS MANUEL DE, DR.",,,,,,,hyundai,1624,,,,,
ANCHORIS,,,,,,,ignora,1626,,,,,
ANDALGALA,,,,,,,imsa,1634,,,,,
ANDALUCIA,,,,,,,indarciclo,164,,,,,
ANDONAEGUI,,,,,,,indian,166,,,,,
ANDORRA,,,,,,,international,1.7,,,,,
"ANDRADE, OLEGARIO, V.",,,,,,,isuzu,170,,,,,
ANGACO,,,,,,,iveco,1700,,,,,
ANKARA,,,,,,,jaguar,170 cc,,,,,
ANTARTIDA ARGENTINA AV.,,,,,,,jawa,1720,,,,,
ANTEQUERA,,,,,,,jeep,1722,,,,,
ANTEZANA,,,,,,,jeep grand,17220,,,,,
ANTOFAGASTA,,,,,,,jianshe,175,,,,,
AÑASCO,,,,,,,jincheng,18,,,,,
"REPETTO, NICOLAS, DR.",,,,,,,jordan,1.8,,,,,
APULE,,,,,,,juki,180,,,,,
AQUINO,,,,,,,kawasaki,180r,,,,,
"ARANGUREN, JUAN F., DR.",,,,,,,keeway,1832,,,,,
ARAOZ,,,,,,,keirin,185,,,,,
"ARATA, PEDRO N.",,,,,,,keller,18 gst,,,,,
ARAUJO,,,,,,,kia,19,,,,,
ARCAMENDIA,,,,,,,kikai,19320,,,,,
ARCE,,,,,,,konisa,2,,,,,
"ARCE, MANUEL",,,,,,,krypton,20,,,,,
JUANA DE ARCO,,,,,,,ktm,200,,,,,
ARCOS,,,,,,,kymco,2000,,,,,
"ARENAL, CONCEPCION",,,,,,,lada,2002,,,,,
ARENALES,,,,,,,land rover,2006,,,,,
ARENGREEN,,,,,,,legnano,2007,,,,,
CANGALLO,,,,,,,look,2008,,,,,
AREVALO,,,,,,,lucky lion,200 agile,,,,,
ARGAÑARAS,,,,,,,maserati,200 cc,,,,,
ARGELIA,,,,,,,maverick,200 ns,,,,,
ARGENTINA AV.,,,,,,,mazda,2011,,,,,
ARGERICH,,,,,,,mercedes benz,203,,,,,
ARIAS,,,,,,,mercury,205,,,,,
ARIEL,,,,,,,merida,206,,,,,
ARISMENDI,,,,,,,mini cuper,207,,,,,
ARIZONA,,,,,,,mitsubishi,208,,,,,
ARJONILLA,,,,,,,modena,20c,,,,,
AROMA,,,,,,,mondial,21,,,,,
AROMO,,,,,,,mongoose,212,,,,,
ARQUIMEDES,,,,,,,monochrome,213,,,,,
"ARREDONDO, VIRREY",,,,,,,montiel,214,,,,,
ARREGUI,,,,,,,motomel,216,,,,,
ARREGUI AV.,,,,,,,nissan,220,,,,,
ARRIBEÑOS,,,,,,,okinoi,223,,,,,
MALASIA,,,,,,,olmo,224,,,,,
ARRIOLA,,,,,,,olympia,225,,,,,
ARROTEA,,,,,,,peugeot,230,,,,,
ARROYO,,,,,,,piaggio,2405,,,,,
"ARTIGAS, JOSE GERVASIO, GRAL.",,,,,,,pioneer,244,,,,,
ARTIGAS MANUEL DE,,,,,,,pontiac,2440,,,,,
ARTILLEROS,,,,,,,porsche,25,,,,,
ASAMBLEA AV.,,,,,,,privitera,2.5,,,,,
ASCASUBI,,,,,,,proton,250,,,,,
ASIA,,,,,,,puma,2500,,,,,
ASUNCION,,,,,,,qjiang,254,,,,,
ATACALCO,,,,,,,raleigh,26,,,,,
ATAHUALPA,,,,,,,rally,260,,,,,
ATENAS,,,,,,,rambler ambassador,2700,,,,,
"ROBBIANI, ANGEL DR.",,,,,,,ranger,278,,,,,
ATUEL,,,,,,,renault,28,,,,,
AUSTRALIA AV.,,,,,,,robinson,296,,,,,
"QUINQUELA MARTIN, BENITO",,,,,,,sava,300,,,,,
AUSTRIA,,,,,,,scania,3000,,,,,
AVALOS,,,,,,,seat,3008,,,,,
AVALLE,,,,,,,shimano,302,,,,,
AVELLANEDA,,,,,,,siambretta,303,,,,,
AVELLANEDA AV.,,,,,,,sigma,306,,,,,
"AVILES, VIRREY",,,,,,,skua,307,,,,,
AYACUCHO,,,,,,,skygo,3070,,,,,
AYOLAS,,,,,,,smash,308,,,,,
AYUI,,,,,,,solid,312,,,,,
AZARA,,,,,,,ssangyoung,316,,,,,
AZCUENAGA,,,,,,,star,318,,,,,
"AZCUENAGA, DOMINGO DE",,,,,,,strato,320,,,,,
AZOPARDO,,,,,,,subaru,323,,,,,
AZUL,,,,,,,sumo,323i,,,,,
AZURDUY JUANA,,,,,,,sunbeam,324,,,,,
"ARGUIBEL, ANDRES",,,,,,,sundown,325,,,,,
"ACHAVAL RODRIGUEZ, T., DR. AV.",,,,,,,suzuki,326,,,,,
"AROLAS, EDUARDO",,,,,,,tanden,328i,,,,,
PJE (F.F.DE LA CRUZ 5200),,,,,,,tata,3301,,,,,
ANASAGASTI,,,,,,,tibo,343,,,,,
"ARAOZ ALFARO, GREGORIO, DR",,,,,,,torino,346,,,,,
PJE (LARRAZABAL 4700),,,,,,,toyota,35,,,,,
PJE (AV. ROCA 5100),,,,,,,triumph,350,,,,,
"ARAOZ DE LAMADRID, GREGORIO, GRAL.",,,,,,,vairo,350 cc,,,,,
CALIFORNIA,,,,,,,velimotor,35100,,,,,
18 DE OCTUBRE DE 1908,,,,,,,vento,360,,,,,
"AUBAIN, TEODORO DR.",,,,,,,venzo,363,,,,,
ASTURIAS AV.,,,,,,,vespa,371,,,,,
PJE (AV. ROCA 5400),,,,,,,volkswagen,380,,,,,
DE LA MISERICORDIA,,,,,,,volvo,382,,,,,
VALLE PJE. PARTICULAR (ALT. ARGERICH 500),,,,,,,wonder,4,,,,,
PACINI DE ALVEAR REGINA,,,,,,,x-screams,40,,,,,
SIN NOMBRE OFICIAL (ALT. GURRUCHAGA 1900),,,,,,,yamaha,400,,,,,
"BIBILONI, JUAN A.",,,,,,,yance,4000,,,,,
BACACAY,,,,,,,zanella,404,,,,,
BACACAY AV.,,,,,,,zenith,405,,,,,
"BACLE, CESAR H.",,,,,,,,406,,,,,
BACON,,,,,,,,407,,,,,
"BACH, JUAN SEBASTIAN",,,,,,,,408,,,,,
BAEZ,,,,,,,,410,,,,,
BAHÍA,,,,,,,,414,,,,,
BAHIA BLANCA,,,,,,,,416,,,,,
BAIGORRI,,,,,,,,420,,,,,
BAIGORRIA,,,,,,,,4316,,,,,
BALBASTRO,,,,,,,,440,,,,,
"BALBIN, JOSE CELEDONIO",,,,,,,,450,,,,,
BALBOA,,,,,,,,455,,,,,
BALCARCE,,,,,,,,470,,,,,
"BALCARCE, FLORENCIO",,,,,,,,483,,,,,
"BALDRICH, JUAN A. DE, CNEL.",,,,,,,,4x4,,,,,
"BALTORE, JOSE R.",,,,,,,,50,,,,,
BALLIVIAN,,,,,,,,500,,,,,
BARADERO,,,,,,,,5000,,,,,
BARAGAÑA,,,,,,,,504,,,,,
BARCALA,,,,,,,,5047,,,,,
BARCELONA,,,,,,,,505,,,,,
BARZANA,,,,,,,,508,,,,,
"BARILARI, ATILIO S., ALTE.",,,,,,,,50 cc,,,,,
BARILOCHE,,,,,,,,510,,,,,
BARRAGAN,,,,,,,,520,,,,,
BARRIENTOS,,,,,,,,528,,,,,
"BARROS PAZOS, JOSE",,,,,,,,5281,,,,,
BASAVILBASO,,,,,,,,545,,,,,
"BASAVILBASO, LEOPOLDO",,,,,,,,547,,,,,
BASUALDO,,,,,,,,55,,,,,
"BATEMAN, J. F.",,,,,,,,6,,,,,
BATHURST,,,,,,,,60,,,,,
BAUNESS,,,,,,,,600,,,,,
"BAUZA, FRANCISCO",,,,,,,,6000,,,,,
"BAVIO, ERNESTO A.",,,,,,,,605,,,,,
BAZURCO,,,,,,,,608,,,,,
BEAUCHEF,,,,,,,,6080,,,,,
BEAZLEY,,,,,,,,609,,,,,
"BECHER, EMILIO",,,,,,,,610,,,,,
"BEDOYA, ELIAS",,,,,,,,6100,,,,,
BEETHOVEN,,,,,,,,6110,,,,,
BEHRING,,,,,,,,618,,,,,
"BEIRO, FRANCISCO AV.",,,,,,,,619,,,,,
"BELAUSTEGUI, LUIS, DR.",,,,,,,,620,,,,,
BELEN,,,,,,,,626,,,,,
BELFAST,,,,,,,,630,,,,,
BELGICA,,,,,,,,640,,,,,
BELGRADO,,,,,,,,65,,,,,
BELGRANO,,,,,,,,650,,,,,
BELGRANO AV.,,,,,,,,656,,,,,
BELL VILLE,,,,,,,,660,,,,,
BELLA VISTA,,,,,,,,666,,,,,
FRAY LUIS BELTRAN,,,,,,,,70,,,,,
"BENIELLI, CARLOS J.",,,,,,,,700,,,,,
"BERG, CARLOS",,,,,,,,7000,,,,,
BERLIN,,,,,,,,705,,,,,
BERMEJO,,,,,,,,709,,,,,
BERMUDEZ,,,,,,,,70 cc,,,,,
"BERMUDEZ, ANTONIO",,,,,,,,710,,,,,
"BERMUDEZ, JORGE",,,,,,,,712,,,,,
BERNA,,,,,,,,718,,,,,
BERNAL,,,,,,,,75,,,,,
BERNALDES,,,,,,,,750,,,,,
"BERNARDI, CONSCRIPTO",,,,,,,,7500,,,,,
BERON DE ASTRADA,,,,,,,,77,,,,,
"BERRO, ADOLFO AV.",,,,,,,,80,,,,,
BERTHELOT,,,,,,,,800,,,,,
BERTRES,,,,,,,,8000,,,,,
BERUTI,,,,,,,,806,,,,,
"BERUTI, ARTURO",,,,,,,,807,,,,,
BESARES,,,,,,,,811,,,,,
"BETBEDER, ONOFRE, ALTE.",,,,,,,,830,,,,,
BEYROUTH,,,,,,,,850,,,,,
BIALET MASSE,,,,,,,,9,,,,,
"BIANCHI, ANDRES",,,,,,,,90,,,,,
BIARRITZ,,,,,,,,900,,,,,
"BIDEGAIN, PEDRO",,,,,,,,902,,,,,
"BIEDMA, JOSE JUAN",,,,,,,,906,,,,,
"BILBAO, FRANCISCO",,,,,,,,90 cc,,,,,
"BILBAO, FRANCISCO AV.",,,,,,,,911,,,,,
"SUAREZ, JUSTO ANTONIO",,,,,,,,913 d,,,,,
BILLINGHURST,,,,,,,,929,,,,,
BLANCO ENCALADA,,,,,,,,93250,,,,,
BLANDENGUES,,,,,,,,940,,,,,
"BLANES, JUAN MANUEL",,,,,,,,950,,,,,
"BOCAYUVA, QUINTINO",,,,,,,,956,,,,,
BOEDO,,,,,,,,960,,,,,
BOEDO AV.,,,,,,,,a1,,,,,
"BOERI, JUAN A.",,,,,,,,a160,,,,,
BOGADO,,,,,,,,a3,,,,,
BOGOTA,,,,,,,,a4,,,,,
BOLAÑOS,,,,,,,,a4 allroad,,,,,
BOLIVAR,,,,,,,,a5,,,,,
ESTADO PLURINACIONAL DE BOLIVIA,,,,,,,,a6,,,,,
BOLONIA,,,,,,,,accent,,,,,
BOLLINI,,,,,,,,access,,,,,
BOMBAY,,,,,,,,access 110,,,,,
"BONIFACIO, JOSE",,,,,,,,accord,,,,,
"BONORINO, ESTEBAN, CNEL. AV.",,,,,,,,advance,,,,,
"BONORINO, MARTINIANO",,,,,,,,advance 150 cc,,,,,
BONPLAND,,,,,,,,africa twin 750,,,,,
BOQUERON,,,,,,,,agile,,,,,
"BOSCH, VENTURA",,,,,,,,aircross,,,,,
BOSTON,,,,,,,,akira,,,,,
BOUCHARD,,,,,,,,all terra,,,,,
BOULOGNE SUR MER,,,,,,,,alpina,,,,,
BOYACA,,,,,,,,alpina 110,,,,,
BOYACA AV.,,,,,,,,alpina 150,,,,,
BRAGADO,,,,,,,,altina,,,,,
"BRAILLE, LUIS",,,,,,,,altino,,,,,
BRANDSEN,,,,,,,,altino 125,,,,,
BRASIL,,,,,,,,altino 150,,,,,
BRASIL AV.,,,,,,,,amarok,,,,,
BRAVARD,,,,,,,,an 125,,,,,
"BRAVO, MARIO",,,,,,,,apolo,,,,,
"BRIN, MINISTRO",,,,,,,,apolo 110,,,,,
"BROWN, ALTE. AV.",,,,,,,,aquila,,,,,
"BROWN, FRANK",,,,,,,,aquila 200,,,,,
BRUIX AV.,,,,,,,,arrow,,,,,
"BRUNO, GIORDANO",,,,,,,,astra,,,,,
BRUSELAS,,,,,,,,atego,,,,,
"BUFANO, ALFREDO R.",,,,,,,,athene 125,,,,,
BUCARELLI,,,,,,,,atos,,,,,
BUCAREST,,,,,,,,avalon,,,,,
BURGOS,,,,,,,,avenger,,,,,
BUDAPEST,,,,,,,,avensis,,,,,
BUERAS,,,,,,,,aventure,,,,,
BULGARIA,,,,,,,,aveo,,,,,
BULNES,,,,,,,,aveo g3,,,,,
"BULLRICH, INT. AV.",,,,,,,,ax,,,,,
"BUNGE, INT.",,,,,,,,ax  100,,,,,
BURELA,,,,,,,,ax 110,,,,,
"BURMEISTER, GERMAN AV.",,,,,,,,ax 1100,,,,,
"BUSCHIAZZO, JUAN A.",,,,,,,,ax 115,,,,,
"BUSTILLO, JOSE M., GRAL.",,,,,,,,ax 125,,,,,
BUTTELER,,,,,,,,ax 250,,,,,
BYNON,,,,,,,,b1,,,,,
BYRON,,,,,,,,b 180,,,,,
"BELLO, ANDRES",,,,,,,,b6 125,,,,,
BETHLEM,,,,,,,,bavis,,,,,
"CARRILLO, RAMON, DR.",,,,,,,,bc 150,,,,,
BARCA CABO DE HORNOS,,,,,,,,bc200,,,,,
BERGANTIN GOLETA ESPORA,,,,,,,,bd 90,,,,,
BERGANTIN GENERAL BELGRANO,,,,,,,,beetle,,,,,
BERGANTIN GENERAL BALCARCE,,,,,,,,benelli,,,,,
"BRAUN MENENDEZ, EDUARDO, DR.",,,,,,,,berlingo,,,,,
"BERMEJO, ANTONIO DR.",,,,,,,,besta,,,,,
"ZONZA BRIANO, PEDRO",,,,,,,,big,,,,,
"BALANDRA, CARMEN",,,,,,,,bit,,,,,
BERGANTIN NANCY,,,,,,,,bit�tuning,,,,,
BERGANTIN ECHAGUE,,,,,,,,bix 110,,,,,
BERGANTIN VIGILANTE,,,,,,,,biz,,,,,
BERGANTIN CONGRESO NACIONAL,,,,,,,,biz 100,,,,,
BANCHS ENRIQUE,,,,,,,,biz 110,,,,,
"BORCHES, JOSE",,,,,,,,biz 125,,,,,
"BORDABEHERE, ENZO",,,,,,,,biz 150,,,,,
CAAGUAZU,,,,,,,,blazer,,,,,
CABALLITO,,,,,,,,blitz,,,,,
CABELLO,,,,,,,,bora,,,,,
"CABEZON, JOSE LEON",,,,,,,,boxer,,,,,
CABILDO AV.,,,,,,,,bravo,,,,,
CABOT,,,,,,,,break,,,,,
"CABRAL, SGTO.",,,,,,,,brex,,,,,
"CABRER, CNEL.",,,,,,,,brezza,,,,,
"CABRERA, JOSE A.",,,,,,,,brezza 150,,,,,
CACIQUE,,,,,,,,brio,,,,,
CACHEUTA,,,,,,,,bross,,,,,
CACHI,,,,,,,,bross 125,,,,,
CACHIMAYO,,,,,,,,bross 250,,,,,
CADIZ,,,,,,,,bs,,,,,
CAFAYATE,,,,,,,,bs 100,,,,,
"CAFFARENA, AGUSTIN R.",,,,,,,,bs 110,,,,,
"CAFFERATA, FRANCISCO",,,,,,,,bus coaster,,,,,
CAGLIARI,,,,,,,,bx,,,,,
"CALAZA, JOSE MARIA",,,,,,,,bxr,,,,,
CALCENA,,,,,,,,c 10,,,,,
CALDAS,,,,,,,,c 107,,,,,
CALDEN,,,,,,,,c 110,,,,,
"CALDERON DE LA BARCA, PEDRO",,,,,,,,c15,,,,,
CALFUCURA,,,,,,,,c150,,,,,
"CAPDEVILA, ARTURO",,,,,,,,c 200,,,,,
CALINGASTA,,,,,,,,c 220,,,,,
"CALOU, JUAN P.",,,,,,,,c 250,,,,,
"CALVO, CARLOS",,,,,,,,c3,,,,,
"CALVO, CARLOS AV.",,,,,,,,c 30,,,,,
"CALZADILLA, SANTIAGO",,,,,,,,c 300,,,,,
CALLAO AV.,,,,,,,,c4,,,,,
CAMACUA,,,,,,,,c6,,,,,
CAMARGO,,,,,,,,c 750,,,,,
CAMARONES,,,,,,,,c 86,,,,,
"CAMBIESES, EUSTAQUIO",,,,,,,,ca 100 db,,,,,
CAMINITO,,,,,,,,caddy,,,,,
"CAMINO, MIGUEL ANDRÉS",,,,,,,,camry,,,,,
CAMOATI,,,,,,,,canter,,,,,
CAMPANA,,,,,,,,captiva,,,,,
CAMPICHUELO,,,,,,,,carat,,,,,
"MARECHAL, LEOPOLDO",,,,,,,,caravan,,,,,
CAMPILLO,,,,,,,,carens,,,,,
"CAMPOS, GASPAR",,,,,,,,carga,,,,,
"CAMPOS, LUIS M. AV.",,,,,,,,cargo,,,,,
CAMPOS SALLES,,,,,,,,cargo 1722,,,,,
CANADA,,,,,,,,carina,,,,,
PADRE CANAVERY,,,,,,,,carrera,,,,,
CANDELARIA,,,,,,,,carrey,,,,,
"CANE, MIGUEL",,,,,,,,cavallino,,,,,
"PERON, JUAN DOMINGO, TTE. GENERAL",,,,,,,,cayanne,,,,,
CANGAYE,,,,,,,,cb,,,,,
CANTILO,,,,,,,,cb 1,,,,,
"CANTILO, INT.",,,,,,,,cb1 125,,,,,
"COLECTORA CANTILO, INT.",,,,,,,,cb 200,,,,,
"SOLANO LOPEZ, F., MARISCAL",,,,,,,,cb 250,,,,,
CAÑADA DE GOMEZ,,,,,,,,cb 280,,,,,
CAÑUELAS,,,,,,,,cb 450,,,,,
CAPDEVILA,,,,,,,,cb 75,,,,,
CAPERUCITA,,,,,,,,cb 750,,,,,
CARABELAS,,,,,,,,cbi,,,,,
CARABOBO AV.,,,,,,,,cbi 125,,,,,
COREA AV.,,,,,,,,cbl,,,,,
CARACAS,,,,,,,,cbr,,,,,
CARANDAY,,,,,,,,cbr 1000,,,,,
CARAPACHAY,,,,,,,,cbr 1100,,,,,
CARBAJAL,,,,,,,,cbr 150,,,,,
"CARBALLIDO, JOSE E.",,,,,,,,cbr 200,,,,,
"CARBONARI, FRANCISCO, CMTE.",,,,,,,,cbr 250,,,,,
"CARCANO, RAMON J.",,,,,,,,cbr 450,,,,,
"CARDENAS, CNEL. AV.",,,,,,,,cbr 600,,,,,
CARDOSO,,,,,,,,cbr 900,,,,,
CARHUE,,,,,,,,cbx,,,,,
CARICANCHA,,,,,,,,cbx 150 cc,,,,,
CAROYA,,,,,,,,cbx 235,,,,,
"CARRANZA, ANGEL JUSTINIANO",,,,,,,,cbx 250,,,,,
"CARRANZA, ADOLFO P.",,,,,,,,cbx 350,,,,,
"CARRANZA, CARLOS",,,,,,,,cbx 50,,,,,
CARRASCO AV.,,,,,,,,ce 110,,,,,
"CARRIEGO, EVARISTO",,,,,,,,ce 150,,,,,
"TROILO, ANIBAL",,,,,,,,celica,,,,,
CASACUBERTA,,,,,,,,celta,,,,,
CASAFOUST,,,,,,,,cerato,,,,,
CASARES AV.,,,,,,,,cg,,,,,
CASCO,,,,,,,,cg1,,,,,
"CASCO, HORACIO, DR.",,,,,,,,cg  125,,,,,
CASEROS AV.,,,,,,,,cg  150 cc,,,,,
CASTAÑARES AV.,,,,,,,,cg  150 titan,,,,,
CASTAÑEDA,,,,,,,,cg 1525,,,,,
CASTAÑON,,,,,,,,cg 250,,,,,
"CASTELAR, EMILIO",,,,,,,,cg titan,,,,,
"CASTELLANOS, JOAQUIN",,,,,,,,cg titan 125,,,,,
CASTELLI,,,,,,,,charade,,,,,
CASTEX,,,,,,,,charmant,,,,,
"CASTILLA, RAMON, MARISCAL",,,,,,,,cherokee,,,,,
CASTILLO,,,,,,,,chevette,,,,,
CASTRO,,,,,,,,chevy,,,,,
CASTRO BARROS,,,,,,,,chopera,,,,,
CASTRO BARROS AV.,,,,,,,,chrono,,,,,
"CASTRO, EMILIO",,,,,,,,cielo,,,,,
"CASTRO, EMILIO AV.",,,,,,,,city,,,,,
"CASTRO, JUAN DE",,,,,,,,city plus,,,,,
CATAMARCA,,,,,,,,civic,,,,,
CATANIA,,,,,,,,clase a,,,,,
14 DE JULIO,,,,,,,,clasicc,,,,,
CATRIEL,,,,,,,,clinton,,,,,
CAVIA,,,,,,,,clio,,,,,
CAJARAVILLA,,,,,,,,clipper,,,,,
CAYASTA,,,,,,,,clk 200,,,,,
FRAY CAYETANO RODRIGUEZ,,,,,,,,cobalt,,,,,
CENTENARIO,,,,,,,,colt,,,,,
BARCO CENTENERA DEL,,,,,,,,comet,,,,,
BARCO CENTENERA DEL AV.,,,,,,,,concours,,,,,
ZENTENO,,,,,,,,conp,,,,,
"CEPEDA Y AHUMADA, RODRIGO DE",,,,,,,,cool 2,,,,,
CERETTI,,,,,,,,corolla,,,,,
"CERRI, DANIEL, GRAL.",,,,,,,,coronado,,,,,
CERRILLOS,,,,,,,,corsa,,,,,
CERRITO,,,,,,,,corsa wagon,,,,,
CERVANTES,,,,,,,,corvette,,,,,
CERVIÑO AV.,,,,,,,,coupe,,,,,
CESPEDES,,,,,,,,courier,,,,,
"CEVALLOS, VIRREY",,,,,,,,cr 250,,,,,
CIPOLLETTI,,,,,,,,crono,,,,,
CISNE,,,,,,,,crossfox,,,,,
"CISNEROS, VIRREY",,,,,,,,cross xr,,,,,
"CITTADINI, BASILIO",,,,,,,,cruze,,,,,
CIUDAD DE LA PAZ,,,,,,,,crv,,,,,
CIUDAD DE SABADELL,,,,,,,,crypton,,,,,
CIUDADELA,,,,,,,,crypton 105,,,,,
"CIVIT, EMILIO",,,,,,,,cuatriciclo jumper 200,,,,,
CLAY,,,,,,,,cuore,,,,,
COBO AV.,,,,,,,,custom,,,,,
COCHABAMBA,,,,,,,,custom 100,,,,,
COCHICO,,,,,,,,custom 110,,,,,
COCHRANE,,,,,,,,custom 150,,,,,
"COGHLAN, JUAN M.",,,,,,,,custom 200,,,,,
COLIGUE,,,,,,,,custom 250,,,,,
COLIQUEO,,,,,,,,custom 650,,,,,
"COLMO, ALFREDO",,,,,,,,custom 883,,,,,
DIAZ COLODRERO,,,,,,,,cv 1,,,,,
COLOMBIA AV.,,,,,,,,cv 125,,,,,
COLOMBO LEONI EDUARDO,,,,,,,,cvr 250,,,,,
CORRALES VIEJOS,,,,,,,,cx 150,,,,,
COLOMBRES,,,,,,,,cx 250,,,,,
